state,lga,affected_household,affected_individuals,displaced_household,displaced_individuals,esa_source,esa_processed,state_clean,lga_clean,lga_pcode,impact_score,risk_level,PCODE,avg_10day_rainfall,max_10day_rainfall,avg_1month_rainfall,max_1month_rainfall,avg_3month_rainfall,max_3month_rainfall,avg_rainfall_anomaly,max_rainfall_anomaly,avg_1month_anomaly,avg_3month_anomaly,rainfall_std,rainfall_90th_percentile,anomaly_std,extreme_rainfall_days,total_population,log_population
ADAMAWA,LAMURDE,790,4490,170,940,HDX,2026-04-04,ADAMAWA,LAMURDE,NG002009,5430,Medium,NG002009,23.124714943066266,110.13513,68.0068383156988,259.2973,195.8671433916024,569.4595,97.24691171686747,225.39322,95.71829089156627,94.62607639156626,26.986629281915572,63.567568,27.45708389073686,17,114922.0,11.652017617869095
ADAMAWA,SHELLENG,240,1440,175,1050,HDX,2026-04-04,ADAMAWA,SHELLENG,NG002017,2490,Medium,NG002017,25.3364830363253,114.03846,74.52756926012049,267.1731,214.0150830218675,647.8269,99.22002428915664,200.40547,98.11042363855422,97.53945920783133,29.075824934303856,72.203847,27.25142594360054,34,127457.0,11.75554217754794
YOBE,FUNE,870,4394,221,1214,HDX,2026-04-04,YOBE,FUNE,NG036005,5608,Medium,NG036005,20.872310791626507,162.79167,61.58634485186747,319.6845,177.9302571048795,727.3631,105.90381176506024,248.69714,106.45214910843374,109.20030519879518,31.950035796071028,69.25892999999999,31.18401820783078,17,514425.0,13.15080699495171
BORNO,JERE,11983,62710,8523,48073,HDX,2026-04-04,BORNO,JERE,NG008013,110783,High,NG008013,19.24872819837349,203.2,56.970079786626506,320.8,164.84781280379516,709.81476,108.9178132560241,297.06076,110.6652408614458,114.17930199096385,30.909490820049616,59.94000000000002,37.42812827911968,34,562771.0,13.240629851740955
BORNO,DAMBOA,2769,13291,0,0,HDX,2026-04-04,BORNO,DAMBOA,NG008007,13291,High,NG008007,26.200045332530124,175.17924,77.32075493313253,350.2547,222.1381562120482,787.23584,103.4667144939759,205.69128,103.54921152409638,104.492988686747,35.87175937607962,74.33490499999999,27.014736179126103,17,231519.0,12.352421541865311
BORNO,GWOZA,23,144,3,16,HDX,2026-04-04,BORNO,GWOZA,NG008011,160,Low,NG008011,25.81773443579217,161.29268,76.13040010934638,331.80487,218.45584761115362,776.04877,105.6055493192771,197.00722,105.4433936807229,106.47834063253013,36.05238092402259,77.853655,30.617979117516484,17,274959.0,12.524380911523716
BORNO,BAMA,355,1598,0,0,HDX,2026-04-04,BORNO,BAMA,NG008003,1598,Low,NG008003,23.302800655481928,190.89404,68.83435732837349,322.70862,198.47215563138556,802.3378,112.0967573192771,323.07803,113.40007897590363,116.87259737349397,34.94924181398315,73.69205299999999,43.69313164517437,17,260271.0,12.469482517006234
BORNO,HAWUL,75,594,0,0,HDX,2026-04-04,BORNO,HAWUL,NG008012,594,Low,NG008012,28.54208135846988,117.347824,84.06451908925301,290.9565,241.75170099889155,723.5362,100.16387806024096,256.69302,99.6569731445783,99.54793251807229,32.63579315095117,76.86232,28.528702310875683,17,316731.0,12.665811269417912
YOBE,FIKA,865,2105,0,0,HDX,2026-04-04,YOBE,FIKA,NG036004,2105,Medium,NG036004,22.32173771138554,158.40845,65.81350819391567,335.6479,189.85033168307228,735.4789,103.47870608433735,222.46341,103.24840078915662,104.96025984337349,31.847282170201662,68.633805,27.34145030452495,17,322079.0,12.682555240873619
BORNO,SHANI,70,462,0,0,HDX,2026-04-04,BORNO,SHANI,NG008027,462,Low,NG008027,27.364933550903615,100.6579,80.67025947710843,275.1842,231.86937359216867,677.26324,100.24963377108433,219.95082,99.49698677710843,99.14949663253012,30.88364668575161,76.710527,27.33266094811262,17,238807.0,12.383415160776964
